Frame,Time,Arena 1 ROI 1 Mean,Arena 1 ROI 1 Sum,Arena 1 ROI 2 Mean,Arena 1 ROI 2 Sum,Arena 1 ROI 3 Mean,Arena 1 ROI 3 Sum
1801,60.03333333333333,183.59421710365106,8990976,196.74768564112665,8989992,208.66999298355032,8029830
1802,60.06666666666667,183.6866576819407,8995503,196.83763377322566,8994102,208.7335308333983,8032275
1803,60.1,183.64003920607695,8993220,196.7761145033156,8991291,208.69197785920323,8030676
1804,60.13333333333333,183.65339377603527,8993874,196.94452104261046,8998986,208.74912294379044,8032875
1805,60.166666666666664,183.64475618720903,8993451,196.7792659707176,8991435,208.73462228112575,8032317
1806,60.2,183.6326268071551,8992857,196.86212330116211,8995221,208.76424729087083,8033457
1807,60.233333333333334,183.57700318549377,8990133,196.76679141225134,8990865,208.6121462539955,8027604
1808,60.266666666666666,183.66295025728988,8994342,196.84111351848205,8994261,208.72152490839636,8031813
1809,60.3,183.5766356285224,8990115,196.76272076685706,8990679,208.60458408045528,8027313
1810,60.333333333333336,183.5703871600098,8989809,196.75057448624517,8990124,208.67295548452483,8029944
1811,60.36666666666667,183.3921832884097,8981082,196.55931980828572,8981385,208.3505886021673,8017539
1812,60.4,183.33227150208282,8978148,196.50686100715646,8978988,208.35713728853202,8017791
1813,60.43333333333333,182.35365106591522,8930223,195.5117851749721,8933520,207.30942543073206,7977474
1814,60.46666666666667,182.35395736339132,8930238,195.64375287243124,8939550,207.32493958057222,7978071
1815,60.5,182.83606959078656,8953848,195.7332414155341,8943639,207.60115381616902,7988700
1816,60.53333333333333,182.35763293310464,8930418,195.8150482568446,8947377,207.57020347704062,7987509
1817,60.56666666666667,183.54808870374907,8988717,196.6797977808417,8986890,208.54736103531613,8025111
1818,60.6,182.4141754471943,8933187,195.81169982272996,8947224,207.49863569034068,7984755
1819,60.63333333333333,182.49222004410683,8937009,195.5427089488543,8934933,207.279722460435,7976331
1820,60.666666666666664,182.43653516295026,8934282,195.5363403584794,8934642,207.2670928510174,7975845
1821,60.7,182.31058564077432,8928114,195.4668111089226,8931465,207.16028689483122,7971735
1822,60.733333333333334,182.4757412398922,8936202,195.6245157901648,8938671,207.34271458641928,7978755
1823,60.766666666666666,182.47139181573144,8935989,195.559188497144,8935686,207.36516722538394,7979619
1824,60.8,182.43396226415095,8934156,195.6904339833235,8941683,207.41475013643097,7981527
1825,60.833333333333336,182.39818671894145,8932404,195.48729564703564,8932401,207.32026194745458,7977891
1826,60.86666666666667,182.46404067630482,8935629,195.61952596677827,8938443,207.4932564122554,7984548
1827,60.9,182.48419505023278,8936616,195.58577900334842,8936901,207.38465736337415,7980369
1828,60.93333333333333,182.50091889242833,8937435,195.67815639156981,8941122,207.3600997895065,7979424
1829,60.96666666666667,182.4019848076452,8932590,195.48722999146477,8932398,207.26997739143994,7975956
1830,61.0,182.41589071306052,8933271,195.57271354474426,8936304,207.36095735557808,7979457
1831,61.03333333333333,182.3420730213183,8929656,195.49504300439892,8932755,207.30490371871832,7977300
1832,61.06666666666667,182.43316589071307,8934117,195.5342393802114,8934546,207.35284945817418,7979145
1833,61.1,182.36535162950258,8930796,195.47619985555775,8931894,207.29141654322913,7976781
1834,61.13333333333333,182.46796128399902,8935821,195.59483947212922,8937315,207.37982380915255,7980183
1835,61.166666666666664,182.48615535407987,8936712,195.54848663909132,8935197,207.3756139393467,7980021
1836,61.2,182.51868414604263,8938305,195.68419670409034,8941398,207.56692913385828,7987383
1837,61.233333333333334,182.50122518990443,8937450,195.62142997833365,8938530,207.41100802993685,7981383
1838,61.266666666666666,182.69872580249938,8947122,195.84262359661219,8948637,207.5700475559367,7987503
1839,61.3,182.5858245528057,8941593,195.77224082463397,8945421,207.49434785998284,7984590
1840,61.333333333333336,182.55317324185248,8939994,195.79955354211805,8946669,207.5632649879161,7987242
1841,61.36666666666667,182.54429061504533,8939559,195.67434836845905,8940948,207.50705542995243,7985079
1842,61.4,182.60769419259987,8942664,195.76298338914057,8944998,207.61838309815232,7989363
1843,61.43333333333333,182.61253369272237,8942901,195.72549405817082,8943285,207.54767287752398,7986642
1844,61.46666666666667,182.63746630727763,8944122,195.76462477841244,8945073,207.60965151633275,7989027
1845,61.5,182.47702768929184,8936265,195.67651500229795,8941047,207.4418804085133,7982571
1846,61.53333333333333,182.7421587846116,8949249,195.90834482305823,8951640,207.70585483745225,7992729
1847,61.56666666666667,182.64371477579024,8944428,195.8160987459786,8947425,207.60926171357292,7989012
1848,61.6,182.70472923303112,8947416,195.91287505744862,8951847,207.71559990644732,7993104
1849,61.63333333333333,182.58539573633914,8941572,195.76219552229006,8944962,207.56989163483277,7987497
1850,61.666666666666664,182.52333986767948,8938533,195.6636465104064,8940459,207.46386528416622,7983417
